symbol,timestamp,trend,entry_price,ml_p_win,accepted
ETHUSDT,1754320500000,uptrend,3561.4737299999997,0.0,False
ETHUSDT,1754321400000,uptrend,3612.4154,0.0,False
ETHUSDT,1754322300000,uptrend,3612.4154,0.0,False
ETHUSDT,1754323200000,uptrend,3612.4154,0.0,False
ETHUSDT,1754324100000,uptrend,3612.4154,0.0,False
ETHUSDT,1754325000000,uptrend,3612.4154,0.0,False
ETHUSDT,1754325900000,uptrend,3612.4154,0.0,False
ETHUSDT,1754326800000,uptrend,3612.4154,0.0,False
ETHUSDT,1754327700000,uptrend,3612.4154,0.0,False
ETHUSDT,1754328600000,uptrend,3612.4154,0.0,False
ETHUSDT,1754329500000,uptrend,3612.4154,0.0,False
ETHUSDT,1754330400000,uptrend,3612.4154,0.0,False
ETHUSDT,1754331300000,uptrend,3642.00886,0.0,False
ETHUSDT,1754332200000,uptrend,3642.00886,0.0,False
ETHUSDT,1754333100000,uptrend,3642.00886,0.0,False
ETHUSDT,1754334000000,uptrend,3642.00886,0.0,False
ETHUSDT,1754334900000,uptrend,3642.00886,0.0,False
ETHUSDT,1754335800000,uptrend,3642.00886,0.0,False
ETHUSDT,1754336700000,uptrend,3642.00886,0.0,False
ETHUSDT,1754337600000,uptrend,3642.00886,0.0,False
ETHUSDT,1754338500000,uptrend,3642.00886,0.0,False
ETHUSDT,1754339400000,uptrend,3642.00886,0.0,False
ETHUSDT,1754340300000,uptrend,3642.00886,0.0,False
ETHUSDT,1754341200000,uptrend,3642.00886,0.0,False
ETHUSDT,1754342100000,uptrend,3693.25747,0.0,False
ETHUSDT,1754343000000,uptrend,3693.25747,0.0,False
ETHUSDT,1754343900000,uptrend,3693.25747,0.0,False
ETHUSDT,1754344800000,uptrend,3693.25747,0.0,False
ETHUSDT,1754345700000,uptrend,3693.25747,0.0,False
ETHUSDT,1754346600000,uptrend,3693.25747,0.0,False
ETHUSDT,1754347500000,uptrend,3693.25747,0.0,False
ETHUSDT,1754348400000,uptrend,3693.25747,0.0,False
ETHUSDT,1754349300000,uptrend,3693.25747,0.0,False
ETHUSDT,1754350200000,uptrend,3693.25747,0.0,False
ETHUSDT,1754351100000,uptrend,3693.25747,0.0,False
ETHUSDT,1754352000000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754352900000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754353800000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754354700000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754355600000,uptrend,3703.4256800000003,0.0,False
